iter	Passed	Remaining
0	3	2462
1	5	2383
2	12	3219
3	14	2973
4	20	3183
5	22	2980
6	28	3247
7	31	3119
8	37	3277
9	40	3200
10	67	4832
11	70	4623
12	75	4578
13	78	4399
14	84	4406
15	87	4273
16	92	4258
17	94	4122
18	100	4136
19	103	4023
20	107	3988
21	110	3890
22	115	3913
23	118	3834
24	124	3873
25	127	3806
26	134	3847
27	137	3789
28	142	3787
29	145	3724
30	151	3750
31	154	3697
32	160	3729
33	163	3677
34	169	3715
35	172	3669
36	189	3909
37	192	3852
38	198	3867
39	201	3819
40	207	3834
41	209	3786
42	215	3790
43	218	3749
44	223	3751
45	226	3709
46	232	3719
47	234	3680
48	241	3696
49	243	3657
50	249	3670
51	252	3637
52	284	4006
53	287	3971
54	293	3979
55	296	3944
56	303	3952
57	306	3915
58	311	3906
59	313	3867
60	318	3864
61	321	3828
62	325	3813
63	328	3778
64	332	3761
65	335	3725
66	339	3709
67	341	3676
68	345	3660
69	347	3627
70	351	3613
71	354	3582
72	358	3570
73	360	3541
74	365	3530
75	367	3500
76	371	3490
77	374	3462
78	378	3450
79	380	3423
80	384	3413
81	386	3385
82	390	3375
83	393	3352
84	397	3343
85	399	3319
86	403	3310
87	406	3288
88	410	3280
89	413	3258
90	417	3251
91	419	3229
92	423	3220
93	426	3200
94	430	3194
95	432	3173
96	436	3166
97	439	3147
98	443	3139
99	446	3122
100	450	3114
101	452	3095
102	456	3088
103	458	3070
104	462	3064
105	465	3047
106	469	3041
107	472	3024
108	476	3018
109	478	3002
110	482	2995
111	484	2978
112	488	2971
113	491	2954
114	495	2949
115	497	2933
116	501	2928
117	504	2913
118	508	2908
119	510	2893
120	514	2888
121	517	2875
122	521	2870
123	523	2855
124	527	2850
125	530	2836
126	534	2831
127	536	2817
128	540	2812
129	543	2798
130	546	2793
131	549	2779
132	553	2775
133	555	2762
134	559	2757
135	562	2743
136	565	2738
137	568	2726
138	572	2722
139	574	2709
140	578	2704
141	581	2692
142	585	2688
143	587	2676
144	591	2671
145	593	2660
146	598	2657
147	600	2645
148	604	2643
149	608	2637
150	611	2626
151	615	2622
152	617	2612
153	621	2608
154	624	2597
155	628	2593
156	630	2582
157	634	2578
158	636	2567
159	640	2560
160	642	2551
161	646	2547
162	649	2536
163	653	2533
164	655	2523
165	659	2519
166	662	2509
167	666	2505
