Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,MP_1,W_1,D_1,L_1,GF_1,GA_1,GD_1,Pts_1,Pts/MP_1
1,Vélez Sarsfield,4,3,1,0,5,2,3,10,2.5,4,2,2,0,4,2,2,8,2.0
2,Ind. Rivadavia,5,3,1,1,8,6,2,10,2.0,3,2,1,0,4,2,2,7,2.33
3,Tigre,4,3,1,0,8,3,5,10,2.5,4,1,2,1,6,4,2,5,1.25
4,Estudiantes–LP,4,3,0,1,4,2,2,9,2.25,4,1,3,0,3,1,2,6,1.5
5,Belgrano,3,2,1,0,5,2,3,7,2.33,5,2,2,1,5,5,0,8,1.6
6,Unión,4,2,2,0,5,0,5,8,2.0,4,2,0,2,6,5,1,6,1.5
7,Rosario Central,4,1,1,2,3,3,0,4,1.0,4,3,1,0,7,3,4,10,2.5
8,Independiente,4,2,2,0,6,2,4,8,2.0,4,1,2,1,5,5,0,5,1.25
9,Platense,4,2,1,1,3,2,1,7,1.75,4,1,3,0,2,1,1,6,1.5
10,Boca Juniors,5,2,3,0,4,1,3,9,1.8,3,1,0,2,5,4,1,3,1.0
11,San Lorenzo,4,2,1,1,6,4,2,7,1.75,4,1,2,1,1,1,0,5,1.25
12,Defensa y Justicia,4,0,4,0,3,3,0,4,1.0,4,2,2,0,4,2,2,8,2.0
13,Huracán,4,3,0,1,6,3,3,9,2.25,4,0,3,1,2,4,-2,3,0.75
14,Racing Club,3,1,1,1,4,4,0,4,1.33,5,2,1,2,7,5,2,7,1.4
15,River Plate,3,2,0,1,6,5,1,6,2.0,5,1,2,2,2,3,-1,5,1.0
16,Gimnasia–LP,4,2,1,1,6,4,2,7,1.75,4,1,1,2,3,6,-3,4,1.0
17,Talleres–C,4,2,1,1,5,4,1,7,1.75,4,1,1,2,3,5,-2,4,1.0
18,Banfield,5,3,1,1,8,4,4,10,2.0,3,0,0,3,1,5,-4,0,0.0
19,Arg Juniors,4,2,2,0,3,1,2,8,2.0,2,0,1,1,1,2,-1,1,0.5
20,Barracas Central,4,2,1,1,5,3,2,7,1.75,4,0,2,2,1,4,-3,2,0.5
21,Lanús,3,1,1,1,3,5,-2,4,1.33,4,1,2,1,6,7,-1,5,1.25
22,Sarmiento–J,4,3,0,1,5,4,1,9,2.25,4,0,0,4,1,5,-4,0,0.0
23,Instituto,5,2,1,2,7,6,1,7,1.4,3,0,1,2,2,4,-2,1,0.33
24,Cen. Córdoba–SdE,4,2,1,1,3,1,2,7,1.75,4,0,1,3,0,5,-5,1,0.25
25,Gimnasia–M,4,1,1,2,2,3,-1,4,1.0,4,1,1,2,3,7,-4,4,1.0
26,Deportivo Riestra,4,0,3,1,1,2,-1,3,0.75,4,0,2,2,1,3,-2,2,0.5
27,Atlé Tucumán,4,1,2,1,5,4,1,5,1.25,4,0,0,4,4,9,-5,0,0.0
28,Estudiantes–RC,3,1,1,1,2,1,1,4,1.33,5,0,0,5,1,11,-10,0,0.0
29,Aldosivi,3,0,3,0,1,1,0,3,1.0,4,0,0,4,1,7,-6,0,0.0
30,Newell's Old Boys,4,0,1,3,3,8,-5,1,0.25,4,0,1,3,2,8,-6,1,0.25
