Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP
1,Vélez Sarsfield,8,5,3,0,9,4,5,18,2.25
2,Ind. Rivadavia,8,5,2,1,12,8,4,17,2.13
3,Tigre,8,4,3,1,14,7,7,15,1.88
4,Estudiantes–LP,8,4,3,1,7,3,4,15,1.88
5,Belgrano,8,4,3,1,10,7,3,15,1.88
6,Unión,8,4,2,2,11,5,6,14,1.75
7,Rosario Central,8,4,2,2,10,6,4,14,1.75
8,Independiente,8,3,4,1,11,7,4,13,1.63
9,Platense,8,3,4,1,5,3,2,13,1.63
10,Boca Juniors,8,3,3,2,9,5,4,12,1.5
11,San Lorenzo,8,3,3,2,7,5,2,12,1.5
12,Defensa y Justicia,8,2,6,0,7,5,2,12,1.5
13,Huracán,8,3,3,2,8,7,1,12,1.5
14,Racing Club,8,3,2,3,11,9,2,11,1.38
15,River Plate,8,3,2,3,8,8,0,11,1.38
16,Gimnasia–LP,8,3,2,3,9,10,-1,11,1.38
17,Talleres–C,8,3,2,3,8,9,-1,11,1.38
18,Banfield,8,3,1,4,9,9,0,10,1.25
19,Arg Juniors,6,2,3,1,4,3,1,9,1.5
20,Barracas Central,8,2,3,3,6,7,-1,9,1.13
21,Lanús,7,2,3,2,9,12,-3,9,1.29
22,Sarmiento–J,8,3,0,5,6,9,-3,9,1.13
23,Instituto,8,2,2,4,9,10,-1,8,1.0
24,Cen. Córdoba–SdE,8,2,2,4,3,6,-3,8,1.0
25,Gimnasia–M,8,2,2,4,5,10,-5,8,1.0
26,Deportivo Riestra,8,0,5,3,2,5,-3,5,0.63
27,Atlé Tucumán,8,1,2,5,9,13,-4,5,0.63
28,Estudiantes–RC,8,1,1,6,3,12,-9,4,0.5
29,Aldosivi,7,0,3,4,2,8,-6,3,0.43
30,Newell's Old Boys,8,0,2,6,5,16,-11,2,0.25
