Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
vs Aldosivi,23,26.9,7,630,90,100,7.0,77,79,47,30,22,52,2.14,8,2,6,0.86
vs Arg Juniors,24,28.6,6,540,90,100,6.0,66,81,37,28,25,44,1.0,3,4,-1,-0.17
vs Atlé Tucumán,22,28.3,8,720,90,100,8.0,88,81,48,40,22,56,2.13,13,9,4,0.5
vs Banfield,25,28.3,8,720,90,100,8.0,88,78,51,36,22,59,1.63,9,9,0,0.0
vs Barracas Central,24,27.7,8,720,90,100,8.0,88,81,51,37,22,59,1.5,7,6,1,0.12
vs Belgrano,23,27.7,8,720,90,100,8.0,88,81,49,39,24,57,0.75,7,10,-3,-0.37
vs Boca Juniors,24,27.9,8,720,90,100,8.0,88,83,50,38,22,58,1.13,5,9,-4,-0.5
vs Cen. Córdoba–SdE,24,27.5,8,720,90,100,8.0,88,79,50,38,17,57,1.75,6,3,3,0.37
vs Defensa y Justicia,23,28.1,8,720,90,100,8.0,88,81,48,39,25,56,0.75,5,7,-2,-0.25
vs Deportivo Riestra,22,28.3,8,720,90,100,8.0,88,81,53,35,22,60,1.75,5,2,3,0.37
vs Estudiantes–LP,25,28.0,8,720,90,100,8.0,88,79,51,37,23,58,0.75,3,7,-4,-0.5
vs Estudiantes–RC,27,28.0,8,720,90,100,8.0,88,77,48,39,21,55,2.38,12,3,9,1.13
vs Gimnasia–LP,24,27.8,8,720,90,100,8.0,88,80,53,34,26,62,1.38,10,9,1,0.12
vs Gimnasia–M,26,27.4,8,720,90,100,8.0,88,77,48,39,21,55,1.75,10,5,5,0.62
vs Huracán,23,28.3,8,720,90,100,8.0,88,81,51,36,24,58,1.13,7,8,-1,-0.12
vs Ind. Rivadavia,22,28.6,8,720,90,100,8.0,88,84,53,34,23,62,0.63,8,12,-4,-0.5
vs Independiente,22,27.4,8,720,90,100,8.0,88,82,50,38,24,57,0.88,7,11,-4,-0.5
vs Instituto,24,27.7,8,720,90,100,8.0,88,80,50,38,23,58,1.75,10,9,1,0.12
vs Lanús,25,27.4,7,630,90,100,7.0,77,82,47,29,17,51,1.29,12,9,3,0.43
vs Newell's Old Boys,26,27.5,8,720,90,100,8.0,88,77,54,34,19,60,2.5,16,5,11,1.37
vs Platense,23,28.5,8,720,90,100,8.0,88,81,49,39,21,56,0.88,3,5,-2,-0.25
vs Racing Club,25,27.4,8,720,90,100,8.0,88,80,50,38,20,58,1.38,9,11,-2,-0.25
vs River Plate,25,27.6,8,720,90,100,8.0,88,80,53,35,20,61,1.38,8,8,0,0.0
vs Rosario Central,21,28.0,8,720,90,100,8.0,88,83,49,39,23,57,1.0,6,10,-4,-0.5
vs San Lorenzo,24,27.8,8,720,90,100,8.0,88,80,51,38,20,57,1.13,5,7,-2,-0.25
vs Sarmiento–J,25,28.1,8,720,90,100,8.0,88,78,49,37,22,58,1.88,9,6,3,0.37
vs Talleres–C,23,27.5,8,720,90,100,8.0,88,81,50,37,21,59,1.38,9,8,1,0.12
vs Tigre,25,28.6,8,720,90,100,8.0,88,83,48,39,23,56,0.75,7,14,-7,-0.87
vs Unión,22,28.1,8,720,90,100,8.0,88,81,47,40,24,56,1.0,5,11,-6,-0.75
vs Vélez Sarsfield,23,28.2,8,720,90,100,8.0,88,83,56,34,23,62,0.38,4,9,-5,-0.62
