Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
vs Aldosivi,23,7.0,12,0,0,71,98,3,114,73,84,0
vs Arg Juniors,24,6.0,16,1,0,86,53,13,74,74,68,0
vs Atlé Tucumán,22,8.0,23,0,0,107,97,11,106,81,98,0
vs Banfield,25,8.0,24,1,0,111,82,7,136,75,93,0
vs Barracas Central,24,8.0,21,0,0,100,99,25,207,93,96,0
vs Belgrano,23,8.0,12,1,0,77,74,18,162,85,104,1
vs Boca Juniors,24,8.0,23,0,0,121,76,8,118,66,87,0
vs Cen. Córdoba–SdE,24,8.0,14,0,0,102,110,11,181,68,83,0
vs Defensa y Justicia,23,8.0,24,1,1,99,69,10,156,59,74,0
vs Deportivo Riestra,22,8.0,22,1,1,73,142,10,167,55,77,0
vs Estudiantes–LP,25,8.0,21,1,0,96,89,17,179,57,83,0
vs Estudiantes–RC,27,8.0,19,1,1,98,95,26,164,73,77,0
vs Gimnasia–LP,24,8.0,20,1,1,113,102,5,180,83,74,0
vs Gimnasia–M,26,8.0,17,1,1,92,91,21,192,59,85,0
vs Huracán,23,8.0,33,1,1,121,100,10,115,84,79,0
vs Ind. Rivadavia,22,8.0,19,1,1,84,84,10,132,81,74,1
vs Independiente,22,8.0,13,0,0,101,85,23,138,82,124,1
vs Instituto,24,8.0,24,0,0,105,94,15,110,88,57,0
vs Lanús,25,7.0,14,2,0,83,79,5,151,69,82,0
vs Newell's Old Boys,26,8.0,19,0,0,109,118,9,146,70,88,0
vs Platense,23,8.0,18,0,0,89,84,20,115,67,80,1
vs Racing Club,25,8.0,16,0,0,87,108,28,139,88,89,0
vs River Plate,25,8.0,13,2,0,93,96,27,112,104,111,0
vs Rosario Central,21,8.0,24,0,0,135,77,15,132,68,91,0
vs San Lorenzo,24,8.0,19,0,0,110,98,13,168,59,95,0
vs Sarmiento–J,25,8.0,23,2,1,103,122,11,149,71,103,0
vs Talleres–C,23,8.0,18,1,1,83,94,9,150,89,104,1
vs Tigre,25,8.0,30,1,0,109,78,9,202,61,82,0
vs Unión,22,8.0,21,1,0,85,101,7,131,97,77,1
vs Vélez Sarsfield,23,8.0,20,0,0,99,91,21,157,102,91,0
