Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
vs Aldosivi,23,7.0,8,91,29,31.9,13.0,4.14,0.08,0.24,1,1
vs Arg Juniors,24,6.0,3,57,15,26.3,9.5,2.5,0.05,0.2,0,0
vs Atlé Tucumán,22,8.0,13,76,25,32.9,9.5,3.12,0.14,0.44,2,2
vs Banfield,25,8.0,9,125,41,32.8,15.62,5.12,0.06,0.17,2,2
vs Barracas Central,24,8.0,7,113,43,38.1,14.12,5.37,0.06,0.16,0,0
vs Belgrano,23,8.0,7,104,36,34.6,13.0,4.5,0.04,0.11,3,3
vs Boca Juniors,24,8.0,5,75,22,29.3,9.37,2.75,0.07,0.23,0,0
vs Cen. Córdoba–SdE,24,8.0,6,123,27,22.0,15.37,3.38,0.04,0.19,1,1
vs Defensa y Justicia,23,8.0,5,97,22,22.7,12.12,2.75,0.05,0.23,0,0
vs Deportivo Riestra,22,8.0,5,87,29,33.3,10.87,3.62,0.03,0.1,2,2
vs Estudiantes–LP,25,8.0,3,90,22,24.4,11.25,2.75,0.03,0.14,0,1
vs Estudiantes–RC,27,8.0,11,101,32,31.7,12.62,4.0,0.09,0.28,2,3
vs Gimnasia–LP,24,8.0,10,125,35,28.0,15.62,4.37,0.07,0.26,1,1
vs Gimnasia–M,26,8.0,9,100,33,33.0,12.5,4.12,0.08,0.24,1,2
vs Huracán,23,8.0,7,78,25,32.1,9.75,3.12,0.08,0.24,1,2
vs Ind. Rivadavia,22,8.0,8,104,28,26.9,13.0,3.5,0.07,0.25,1,1
vs Independiente,22,8.0,7,77,23,29.9,9.62,2.87,0.09,0.3,0,0
vs Instituto,24,8.0,10,74,28,37.8,9.25,3.5,0.14,0.36,0,0
vs Lanús,25,7.0,12,95,31,32.6,13.57,4.43,0.11,0.32,2,2
vs Newell's Old Boys,26,8.0,16,96,43,44.8,12.0,5.37,0.16,0.35,1,1
vs Platense,23,8.0,2,83,27,32.5,10.37,3.38,0.02,0.07,0,0
vs Racing Club,25,8.0,9,75,29,38.7,9.37,3.62,0.12,0.31,0,0
vs River Plate,25,8.0,8,73,28,38.4,9.12,3.5,0.11,0.29,0,0
vs Rosario Central,21,8.0,5,97,36,37.1,12.12,4.5,0.05,0.14,0,0
vs San Lorenzo,24,8.0,5,103,37,35.9,12.87,4.62,0.05,0.14,0,0
vs Sarmiento–J,25,8.0,9,103,44,42.7,12.87,5.5,0.09,0.2,0,0
vs Talleres–C,23,8.0,8,76,30,39.5,9.5,3.75,0.09,0.23,1,1
vs Tigre,25,8.0,7,90,20,22.2,11.25,2.5,0.08,0.35,0,0
vs Unión,22,8.0,5,79,29,36.7,9.87,3.62,0.06,0.17,0,0
vs Vélez Sarsfield,23,8.0,3,97,33,34.0,12.12,4.12,0.03,0.09,0,0
