Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_1,Ast_1,G+A_1,G-PK_1,G+A-PK
vs Aldosivi,24,27.0,49.5,8,88,720,8.0,9,6,15,8,1,2,15,0,1.13,0.75,1.87,1.0,1.75
vs Arg Juniors,24,28.2,38.0,7,77,630,7.0,3,2,5,3,0,0,17,1,0.43,0.29,0.71,0.43,0.71
vs Atlé Tucumán,22,28.3,48.7,9,99,810,9.0,14,8,22,12,2,2,24,1,1.56,0.89,2.44,1.33,2.22
vs Banfield,25,28.3,56.7,9,99,810,9.0,11,6,17,9,2,2,28,1,1.22,0.67,1.89,1.0,1.67
vs Barracas Central,25,27.6,61.3,9,99,810,9.0,8,6,14,8,0,0,27,0,0.89,0.67,1.56,0.89,1.56
vs Belgrano,24,27.8,49.6,9,99,810,9.0,7,2,9,4,3,3,13,1,0.78,0.22,1.0,0.44,0.67
vs Boca Juniors,24,27.6,38.0,9,99,810,9.0,6,6,12,6,0,0,26,0,0.67,0.67,1.33,0.67,1.33
vs Cen. Córdoba–SdE,24,27.5,55.2,9,99,810,9.0,7,5,12,6,1,1,17,1,0.78,0.56,1.33,0.67,1.22
vs Defensa y Justicia,23,28.1,49.9,9,99,810,9.0,6,2,8,5,1,1,26,1,0.67,0.22,0.89,0.56,0.78
vs Deportivo Riestra,24,28.4,59.2,9,99,810,9.0,5,3,8,3,2,2,25,1,0.56,0.33,0.89,0.33,0.67
vs Estudiantes–LP,25,28.2,46.4,9,99,810,9.0,4,4,8,4,0,1,23,1,0.44,0.44,0.89,0.44,0.89
vs Estudiantes–RC,27,28.0,55.2,9,99,810,9.0,12,6,18,10,2,3,21,1,1.33,0.67,2.0,1.11,1.78
vs Gimnasia–LP,25,27.6,56.6,9,99,810,9.0,11,7,18,10,1,1,25,1,1.22,0.78,2.0,1.11,1.89
vs Gimnasia–M,26,27.7,56.3,9,99,810,9.0,9,7,16,8,1,2,20,1,1.0,0.78,1.78,0.89,1.67
vs Huracán,24,28.0,46.1,9,99,810,9.0,9,7,16,7,2,4,36,2,1.0,0.78,1.78,0.78,1.56
vs Ind. Rivadavia,22,28.7,54.4,9,99,810,9.0,10,9,19,9,1,1,22,1,1.11,1.0,2.11,1.0,2.0
vs Independiente,23,27.4,45.8,9,99,810,9.0,11,9,20,10,1,1,13,0,1.22,1.0,2.22,1.11,2.11
vs Instituto,25,27.6,46.4,9,99,810,9.0,12,9,21,12,0,0,29,0,1.33,1.0,2.33,1.33,2.33
vs Lanús,25,27.5,50.8,8,88,720,8.0,12,8,20,10,2,2,17,2,1.5,1.0,2.5,1.25,2.25
vs Newell's Old Boys,27,27.5,57.0,9,99,810,9.0,17,12,29,16,1,1,21,0,1.89,1.33,3.22,1.78,3.11
vs Platense,24,28.3,48.8,9,99,810,9.0,3,2,5,3,0,0,22,0,0.33,0.22,0.56,0.33,0.56
vs Racing Club,25,27.6,41.8,9,99,810,9.0,9,6,15,9,0,0,18,0,1.0,0.67,1.67,1.0,1.67
vs River Plate,25,27.8,34.8,9,99,810,9.0,9,6,15,8,1,1,19,3,1.0,0.67,1.67,0.89,1.56
vs Rosario Central,23,27.9,47.9,9,99,810,9.0,5,4,9,5,0,0,26,0,0.56,0.44,1.0,0.56,1.0
vs San Lorenzo,25,27.7,52.0,9,99,810,9.0,6,6,12,6,0,0,22,0,0.67,0.67,1.33,0.67,1.33
vs Sarmiento–J,25,28.0,47.9,9,99,810,9.0,9,6,15,9,0,0,27,3,1.0,0.67,1.67,1.0,1.67
vs Talleres–C,26,27.6,45.7,9,99,810,9.0,8,4,12,7,1,1,22,1,0.89,0.44,1.33,0.78,1.22
vs Tigre,25,28.5,55.7,9,99,810,9.0,8,4,12,7,1,1,35,1,0.89,0.44,1.33,0.78,1.22
vs Unión,23,28.4,53.4,9,99,810,9.0,9,7,16,8,1,1,23,1,1.0,0.78,1.78,0.89,1.67
vs Vélez Sarsfield,24,28.1,46.7,9,99,810,9.0,4,4,8,4,0,0,23,0,0.44,0.44,0.89,0.44,0.89
