Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_1
Aldosivi,1,8,8,720,8.0,9,1.13,32,25,75.0,0,4,4,2,25.0,2,1,1,0,50.0
Arg Juniors,1,7,7,630,7.0,3,0.43,19,16,84.2,2,4,1,5,71.4,0,0,0,0,
Atlé Tucumán,1,9,9,810,9.0,14,1.56,23,11,47.8,1,3,5,2,22.2,2,2,0,0,0.0
Banfield,1,9,9,810,9.0,11,1.22,45,36,80.0,3,1,5,2,22.2,2,2,0,0,0.0
Barracas Central,2,9,9,810,9.0,8,0.89,53,45,84.9,3,3,3,2,22.2,0,0,0,0,
Belgrano,1,9,9,810,9.0,7,0.78,34,30,88.2,5,3,1,4,44.4,3,3,0,0,0.0
Boca Juniors,1,9,9,810,9.0,6,0.67,24,18,75.0,3,4,2,5,55.6,0,0,0,0,
Cen. Córdoba–SdE,1,9,9,810,9.0,7,0.78,30,24,80.0,2,3,4,4,44.4,1,1,0,0,0.0
Defensa y Justicia,1,9,9,810,9.0,6,0.67,27,22,81.5,2,7,0,4,44.4,1,1,0,0,0.0
Deportivo Riestra,1,9,9,810,9.0,5,0.56,29,26,89.7,0,6,3,4,44.4,2,2,0,0,0.0
Estudiantes–LP,2,9,9,810,9.0,4,0.44,22,19,81.8,4,3,2,5,55.6,1,0,1,0,100.0
Estudiantes–RC,2,9,9,810,9.0,13,1.44,32,21,65.6,1,1,7,2,22.2,3,2,0,1,0.0
Gimnasia–LP,2,9,9,810,9.0,11,1.22,38,28,73.7,4,2,3,2,22.2,1,1,0,0,0.0
Gimnasia–M,2,9,9,810,9.0,10,1.11,38,30,76.3,2,3,4,3,33.3,2,1,1,0,50.0
Huracán,1,9,9,810,9.0,9,1.0,26,21,73.1,3,3,3,3,33.3,4,2,2,0,50.0
Ind. Rivadavia,1,9,9,810,9.0,10,1.11,30,21,70.0,5,2,2,1,11.1,1,1,0,0,0.0
Independiente,1,9,9,810,9.0,11,1.22,30,19,66.7,3,5,1,3,33.3,1,1,0,0,0.0
Instituto,1,9,9,810,9.0,12,1.33,31,19,61.3,2,2,5,1,11.1,0,0,0,0,
Lanús,2,8,8,720,8.0,12,1.5,34,24,70.6,3,3,2,1,12.5,2,2,0,0,0.0
Newell's Old Boys,2,9,9,810,9.0,17,1.89,48,32,66.7,0,3,6,0,0.0,1,1,0,0,0.0
Platense,1,9,9,810,9.0,4,0.44,33,29,87.9,3,5,1,5,55.6,0,0,0,0,
Racing Club,1,9,9,810,9.0,9,1.0,33,23,72.7,3,3,3,4,44.4,0,0,0,0,
River Plate,2,9,9,810,9.0,9,1.0,31,23,74.2,4,2,3,3,33.3,1,1,0,0,0.0
Rosario Central,2,9,9,810,9.0,6,0.67,38,32,84.2,4,3,2,4,44.4,0,0,0,0,
San Lorenzo,1,9,9,810,9.0,6,0.67,39,32,84.6,3,4,2,5,55.6,0,0,0,0,
Sarmiento–J,1,9,9,810,9.0,9,1.0,49,40,81.6,3,1,5,3,33.3,0,0,0,0,
Talleres–C,1,9,9,810,9.0,9,1.0,35,27,77.1,4,2,3,3,33.3,1,1,0,0,0.0
Tigre,2,9,9,810,9.0,8,0.89,24,17,70.8,4,4,1,3,33.3,1,1,0,0,0.0
Unión,1,9,9,810,9.0,9,1.0,33,25,75.8,4,3,2,4,44.4,1,1,0,0,0.0
Vélez Sarsfield,1,9,9,810,9.0,5,0.56,38,33,86.8,5,4,0,4,44.4,0,0,0,0,
