Squad,Team,MPMatches Played this season,WWin,DDraw,LLoss,GFGoals For (GF). The number of goals this team have scored.,GAGoals Against (GA). The number of goals this team have conceded.,GDGoal Difference (GD). Goals Scored - Goals Conceded,Pts,Last 5,PPG,CSClean Sheets (CS). Table of teams with the highest number of matches where they conceded 0 goals. Stats are taken from League runs only. * Team must have played a minimum of 7 matches before they qualify for this CS table.,BTTSBoth Teams To Score (BTTS). List of teams with the highest number of matches where both teams scored. Stats from team's Domestic League runs only. * Team must have played a minimum of 7 matches before they qualify for this BTTS table.,xGFExpected Goals For,Yellow Card / Red Card,Corners / match,"1.5+Over 1.5 (1.5+). The number or percent of matches where the total goals ended above 1.5 (ie: 2, 3, or 4 goals)","2.5+Over 2.5 (2.5+). The number or percent of matches where the total goals ended above 2.5 (ie: 3, 4, or 5 goals)",AVGAverage Goals Per Match (AVG). The average number of total goals per match. Calculated across this season.
1,,10,6,4,0,12,5,7,22,,2.2,,,1.3,,,,,1.7
2,,10,6,2,2,16,12,4,20,,2.0,,,1.66,,,,,2.8
3,,10,5,4,1,11,7,4,19,,1.9,,,1.33,,,,,1.8
4,,10,5,3,2,12,7,5,18,,1.8,,,1.61,,,,,1.9
5,,10,5,3,2,9,5,4,18,,1.8,,,1.5,,,,,1.4
6,,10,4,5,1,16,9,7,17,,1.7,,,1.49,,,,,2.5
7,,10,5,2,3,12,9,3,17,,1.7,,,1.87,,,,,2.1
8,,10,4,4,2,16,10,6,16,,1.6,,,1.68,,,,,2.6
9,,10,3,7,0,13,8,5,16,,1.6,,,1.2,,,,,2.1
10,,10,4,3,3,13,9,4,15,,1.5,,,1.49,,,,,2.2
11,,9,4,3,2,15,12,3,15,,1.67,,,1.26,,,,,3.0
12,,10,4,3,3,10,9,1,15,,1.5,,,1.21,,,,,1.9
13,,10,4,3,3,10,9,1,15,,1.5,,,1.4,,,,,1.9
14,,10,3,5,2,11,7,4,14,,1.4,,,1.36,,,,,1.8
15,,10,3,5,2,16,13,3,14,,1.4,,,1.55,,,,,2.9
16,,10,3,5,2,6,6,0,14,,1.4,,,1.33,,,,,1.2
17,,10,4,2,4,13,14,-1,14,,1.4,,,1.15,,,,,2.7
18,,10,3,4,3,9,9,0,13,,1.3,,,1.26,,,,,1.8
19,,10,3,4,3,10,11,-1,13,,1.3,,,1.18,,,,,2.1
20,,10,3,3,4,5,7,-2,12,,1.2,,,1.08,,,,,1.2
21,,8,2,5,1,5,4,1,11,,1.38,,,1.84,,,,,1.13
22,,10,3,2,5,11,13,-2,11,,1.1,,,1.43,,,,,2.4
23,,10,3,1,6,11,13,-2,10,,1.0,,,1.34,,,,,2.4
24,,10,3,1,6,6,11,-5,10,,1.0,,,1.29,,,,,1.7
25,,10,2,3,5,6,12,-6,9,,0.9,,,1.23,,,,,1.8
26,,10,0,6,4,2,6,-4,6,,0.6,,,1.33,,,,,0.8
27,,10,1,3,6,11,16,-5,6,,0.6,,,1.55,,,,,2.7
28,,9,0,5,4,3,9,-6,5,,0.56,,,1.25,,,,,1.33
29,,10,1,1,8,3,15,-12,4,,0.4,,,1.21,,,,,1.8
30,,10,0,3,7,6,22,-16,3,,0.3,,,1.21,,,,,2.8
