Overall,Home,Away,Squad
,,,1 - 2FT2.88
,,,nan
,1.11,,nan
,1.67,,nan
,0.0,,nan
,,,nan
,,,nan
2.33,2.5,2.0,nan
1.11,1.5,0.33,nan
1.22,1.0,1.67,nan
,,,nan
,,,nan
,,,nan
,1.56,,nan
,1.75,,nan
,1.4,,nan
,,,nan
,,,nan
2.44,2.5,2.4,nan
1.22,1.5,1.0,nan
1.22,1.0,1.4,nan
,,,nan
,,,nan
,,,0 - 0FT2.88
,,,nan
,1.43,,nan
,1.8,,nan
,0.5,,nan
,,,nan
,,,nan
1.0,0.8,1.5,nan
0.57,0.6,0.5,nan
0.43,0.2,1.0,nan
,,,nan
,,,nan
,,,nan
,1.67,,nan
,1.0,,nan
,2.2,,nan
,,,nan
,,,nan
1.78,1.5,2.0,nan
1.11,0.75,1.4,nan
0.67,0.75,0.6,nan
,,,nan
,,,nan
,,,1 - 1FT3.40
,,,nan
,1.44,,nan
,1.67,,nan
,1.0,,nan
,,,nan
,,,nan
1.78,1.17,3.0,nan
1.11,0.83,1.67,nan
0.67,0.33,1.33,nan
,,,nan
,,,nan
,,,nan
,1.44,,nan
,1.75,,nan
,1.2,,nan
,,,nan
,,,nan
1.56,2.5,0.8,nan
0.89,1.5,0.4,nan
0.67,1.0,0.4,nan
,,,nan
,,,nan
,,,1 - 1FT3.10
,,,nan
,0.67,,nan
,1.2,,nan
,0.0,,nan
,,,nan
,,,nan
2.67,2.2,3.25,nan
1.11,1.2,1.0,nan
1.56,1.0,2.25,nan
,,,nan
,,,nan
,,,nan
,0.5,,nan
,1.0,,nan
,0.2,,nan
,,,nan
,,,nan
1.5,0.67,2.0,nan
0.38,0.33,0.4,nan
1.13,0.33,1.6,nan
,,,nan
,,,nan
,,,1 - 2FT3.55
,,,nan
,1.89,,nan
,1.67,,nan
,2.33,,nan
,,,nan
,,,nan
2.56,2.83,2.0,nan
1.44,1.5,1.33,nan
1.11,1.33,0.67,nan
,,,nan
,,,nan
,,,nan
,1.33,,nan
,1.75,,nan
,1.0,,nan
,,,nan
,,,nan
1.78,2.0,1.6,nan
0.89,1.25,0.6,nan
0.89,0.75,1.0,nan
,,,nan
,,,nan
,,,0 - 0FT2.85
,,,nan
,0.67,,nan
,0.8,,nan
,0.5,,nan
,,,nan
,,,nan
0.78,0.6,1.0,nan
0.22,0.2,0.25,nan
0.56,0.4,0.75,nan
,,,nan
,,,nan
,,,nan
,1.0,,nan
,1.0,,nan
,1.0,,nan
,,,nan
,,,nan
1.67,1.25,2.0,nan
0.56,0.5,0.6,nan
1.11,0.75,1.4,nan
,,,nan
,,,nan
