Squad,MPMatches Played this season,WWin,DDraw,LLoss,GFGoals For (GF). The number of goals this team have scored.,GAGoals Against (GA). The number of goals this team have conceded.,GDGoal Difference (GD). Goals Scored - Goals Conceded,Pts,PPG,xGFExpected Goals For,AVGAverage Goals Per Match (AVG). The average number of total goals per match. Calculated across this season.
1,9,5,4,0,10,5,5,19,2.11,1.27,1.67
2,9,5,3,1,11,7,4,18,2.0,1.38,2.0
3,9,5,2,2,13,10,3,17,1.89,1.69,2.56
4,9,4,4,1,15,8,7,16,1.78,1.55,2.56
5,9,4,3,2,15,9,6,15,1.67,1.7,2.67
6,9,4,3,2,10,6,4,15,1.67,1.52,1.78
7,9,4,3,2,7,4,3,15,1.67,1.51,1.22
8,9,3,5,1,15,11,4,14,1.56,1.55,2.89
9,9,3,5,1,6,4,2,14,1.56,1.31,1.11
10,9,4,2,3,10,9,1,14,1.56,1.71,2.11
11,9,4,2,3,10,9,1,14,1.56,1.42,2.11
12,9,4,2,3,11,11,0,14,1.56,1.16,2.44
13,9,3,4,2,10,6,4,13,1.44,1.31,1.78
14,9,2,7,0,8,6,2,13,1.44,1.18,1.56
15,9,3,4,2,8,6,2,13,1.44,1.09,1.56
16,9,3,3,3,11,9,2,12,1.33,1.45,2.22
17,9,3,3,3,8,8,0,12,1.33,1.22,1.78
18,9,3,3,3,9,9,0,12,1.33,1.23,2.0
19,8,3,3,2,10,12,-2,12,1.5,1.2,2.75
20,7,2,4,1,4,3,1,10,1.43,1.95,1.0
21,9,3,1,5,10,11,-1,10,1.11,1.38,2.33
22,9,3,1,5,6,9,-3,10,1.11,1.39,1.67
23,9,2,3,4,4,7,-3,9,1.0,1.11,1.22
24,9,2,3,4,5,10,-5,9,1.0,1.22,1.67
25,9,2,2,5,9,12,-3,8,0.89,1.44,2.33
26,9,0,6,3,2,5,-3,6,0.67,1.29,0.78
27,9,1,3,5,10,14,-4,6,0.67,1.55,2.67
28,8,0,4,4,3,9,-6,4,0.5,1.25,1.5
29,9,1,1,7,3,13,-10,4,0.44,1.31,1.78
30,9,0,3,6,6,17,-11,3,0.33,1.27,2.56
